AST.0001        001000000001800000000000001800000000000008200000
AST.0001        002000000001800000000000003600000000000006400000
AST.0001        003000000001800000000000005400000000000004600000
AST.0001        004000000001800000000000007200000000000002800000
AST.0001        005000000001800000000000009000000000000001000000
AST.0002        001000000000333333000000000333333000000000666667
AST.0002        002000000000333333000000000666666000000000333334
AST.0002        003000000000333334000000001000000000000000000000
AST.B001        001000000000000002000000000000002000000000000003
AST.B001        002000000000000003000000000000005000000000000000
AST.0003        001000000002500000000000002500000000000007500000
AST.0003        002000000001875000000000004375000000000005625000
AST.0003        003000000001406250000000005781250000000004218750
AST.0003        004000000001054688000000006835938000000003164062
AST.0003        005000000002164062000000009000000000000001000000
AST.0004        001000000000500000000000000500000000000000500000
AST.0004        002000000000000000000000000500000000000000500000
AST.0004        003000000000000000000000000500000000000000500000
AST.0004        004000000000000000000000000500000000000000500000
