ACC.0001                        +000000008398188515
ACC.0002                        +000000006433289590
ACC.0003                        +000000042652407923
ACC.0004                        +000000119989919032
ACC.0005                        -000000022672479855
ACC.0006                        -000000027741883046
ACC.0007                        -000000071429361135
ACC.0008                        +000000002717889826
ACC.0009                        +000000021516702190
ACC.0010                        +000000067599854706
ACC.0011                        -000000003929615191
ACC.0012                        +000000024548218081
ACC.0013                        +000000110049833701
ACC.0014                        +000000145889563679
ACC.0015                        -000000020402344170
ACC.0016                        +000000031262680324
ACC.0017                        +000000042164596467
ACC.0018                        +000000145174353657
ACC.0019                        +000000164341144795
ACC.0020                        +000000165001281332
ACC.0021                        -000000045250097861
ACC.0022                        +000000080919931878
ACC.0023                        -000000239657201843
ACC.0024                        +000000131499014442
ACC.0025                        -000000093083863571
ACC.0026                        -000000241859870192
ACC.0027                        -000000055825020384
ACC.0028                        -000000006425322765
ACC.0029                        +000000121727279992
ACC.0030                        +000000269655953829
ACC.0031                        +000000089061192727
ACC.0032                        -000000041929316118
ACC.0033                        +000000071399643431
ACC.0034                        -000000054944251352
ACC.0035                        -000000087103702837
ACC.0036                        +000000098311378832
ACC.0037                        +000000047895073688
ACC.0038                        -000000040756573320
ACC.0039                        +000000068169209520
ACC.0040                        +000000095269423727
