ACC.0026                        CUSD000000007594276000000000139125000000000000100
ACC.0024                        DEUR000000000244442000000000151980000000000000100
ACC.0001                        DKRW000000004856077000000000000001000000000000001
ACC.0018                        CKRW000000005074525000000000000001000000000000001
ACC.0019                        DJPY000000006190885000000000000905000000000000100
ACC.0011                        DKRW000000002262524000000000000001000000000000001
ACC.0039                        CKRW000000008739250000000000000001000000000000001
ACC.0007                        CKRW000000004462277000000000000001000000000000001
ACC.0035                        DKRW000000008891185000000000000001000000000000001
ACC.0027                        DEUR000000009249349000000000151980000000000000100
ACC.0022                        DUSD000000009369455000000000139125000000000000100
ACC.0032                        DUSD000000003789183000000000139125000000000000100
ACC.0008                        CKRW000000000599353000000000000001000000000000001
ACC.0035                        DUSD000000000725608000000000139125000000000000100
ACC.0005                        CKRW000000007001603000000000000001000000000000001
ACC.0021                        DKRW000000001889924000000000000001000000000000001
ACC.0017                        CEUR000000002306969000000000151980000000000000100
ACC.0018                        DJPY000000004792458000000000000905000000000000100
ACC.0029                        DJPY000000009879146000000000000905000000000000100
ACC.0025                        CUSD000000002462263000000000139125000000000000100
ACC.0039                        DKRW000000001131621000000000000001000000000000001
ACC.0023                        CEUR000000004462768000000000151980000000000000100
ACC.0015                        CEUR000000006018802000000000151980000000000000100
ACC.0008                        DKRW000000004258972000000000000001000000000000001
ACC.0011                        CKRW000000002598384000000000000001000000000000001
ACC.0037                        CJPY000000005855384000000000000905000000000000100
ACC.0006                        CJPY000000005332007000000000000905000000000000100
ACC.0003                        DKRW000000004721655000000000000001000000000000001
ACC.0001                        CUSD000000007759229000000000139125000000000000100
ACC.0016                        CKRW000000000020446000000000000001000000000000001
ACC.0037                        CUSD000000003561757000000000139125000000000000100
ACC.0021                        DEUR000000004993298000000000151980000000000000100
ACC.0013                        DKRW000000004368918000000000000001000000000000001
ACC.0018                        CJPY000000008767410000000000000905000000000000100
ACC.0035                        CJPY000000006115452000000000000905000000000000100
ACC.0029                        CEUR000000008058525000000000151980000000000000100
ACC.0002                        CKRW000000001789014000000000000001000000000000001
ACC.0019                        DEUR000000002959123000000000151980000000000000100
ACC.0006                        DEUR000000006600938000000000151980000000000000100
ACC.0001                        DEUR000000002146976000000000151980000000000000100
ACC.0040                        DEUR000000009876842000000000151980000000000000100
ACC.0002                        DEUR000000001234646000000000151980000000000000100
ACC.0023                        CEUR000000004851294000000000151980000000000000100
ACC.0031                        CKRW000000008903341000000000000001000000000000001
ACC.0025                        CJPY000000005635012000000000000905000000000000100
ACC.0016                        CJPY000000008766913000000000000905000000000000100
ACC.0018                        DEUR000000004476447000000000151980000000000000100
ACC.0003                        DKRW000000002800563000000000000001000000000000001
ACC.0019                        DJPY000000002658997000000000000905000000000000100
ACC.0026                        CJPY000000008297990000000000000905000000000000100
ACC.0035                        CEUR000000002916197000000000151980000000000000100
ACC.0008                        CUSD000000001039957000000000139125000000000000100
ACC.0034                        CKRW000000009221568000000000000001000000000000001
ACC.0026                        CUSD000000009110053000000000139125000000000000100
ACC.0018                        DKRW000000004770588000000000000001000000000000001
ACC.0011                        CEUR000000006449063000000000151980000000000000100
ACC.0011                        DUSD000000001177113000000000139125000000000000100
ACC.0015                        DUSD000000004203068000000000139125000000000000100
ACC.0006                        CUSD000000000118310000000000139125000000000000100
ACC.0025                        CJPY000000004884383000000000000905000000000000100
ACC.0007                        DUSD000000006346651000000000139125000000000000100
ACC.0032                        CKRW000000002038416000000000000001000000000000001
ACC.0026                        CJPY000000006495044000000000000905000000000000100
ACC.0026                        CUSD000000007531306000000000139125000000000000100
ACC.0010                        DEUR000000001114567000000000151980000000000000100
ACC.0032                        DEUR000000005245486000000000151980000000000000100
ACC.0037                        DUSD000000003447213000000000139125000000000000100
ACC.0038                        DJPY000000007570475000000000000905000000000000100
ACC.0003                        CEUR000000005821755000000000151980000000000000100
ACC.0035                        DKRW000000002281372000000000000001000000000000001
ACC.0004                        CJPY000000002476732000000000000905000000000000100
ACC.0034                        CJPY000000005296650000000000000905000000000000100
ACC.0006                        DJPY000000007150669000000000000905000000000000100
ACC.0009                        CJPY000000000842761000000000000905000000000000100
