DEP.0001        S0000000100000000000000030000001000036500365000
DEP.0002        S0000000500000000000000250000010000009000365000
DEP.0003        S0000000012345670000000060000001000003000360000
BND.I001        S0000000000000010000000010000000020000100001000
BND.I002        S0000000000000030000000010000000020000100001000
LATE.001        S0000000030000000000000180000001000004500365000
CMP.0001        C0000000010000000000000010000001000000000000012
CMP.0002        C0000001000000000000000050000010000000000000024
CMP.B001        C0000000000001000000000010000000020000000000001
CMP.B002        C0000000000000010000000010000000020000000000003
CMP.Z000        C0000000000007770000000050000001000000000000000
